no,gender,age,height,weight,bmi,griffith,thermal sensation,thermal preference,thermal acceptance,room,co2,air_speed,season,date,time,ta,hr
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,0,1.0,202.0,501.0,0.05,winter,2019/1/9,8:40:00,21.0,14.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,1,1.0,202.0,795.0,0.11,winter,2019/1/9,9:00:00,22.0,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.5,0,1.0,202.0,895.0,0.11,winter,2019/1/9,9:30:00,24.1,14.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.8,0,1.0,202.0,1097.0,0.08,winter,2019/1/9,10:00:00,25.2,16.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.5,0,1.0,202.0,1167.0,0.07,winter,2019/1/9,10:30:00,25.9,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.7,-1,1.0,202.0,1164.0,0.09,winter,2019/1/9,11:00:00,26.1,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,1.0,-1,1.0,202.0,1217.0,0.05,winter,2019/1/9,11:30:00,26.6,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,1.0,-1,1.0,202.0,1287.0,0.01,winter,2019/1/9,12:00:00,26.9,16.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,1,1.0,202.0,633.0,0.02,winter,2019/1/9,14:10:00,24.0,13.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,0,1.0,202.0,753.0,0.06,winter,2019/1/9,14:30:00,23.4,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,-0.5,1,1.0,202.0,733.0,0.12,winter,2019/1/9,15:00:00,23.3,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,-0.5,1,1.0,202.0,777.0,0.11,winter,2019/1/9,15:30:00,23.2,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,-0.7,1,1.0,202.0,743.0,0.0,winter,2019/1/9,16:00:00,22.8,15.0
1,1.0,24.0,185.0,85.0,24.84,2.14,-1.0,1,1.0,202.0,786.0,0.02,winter,2019/1/9,16:30:00,22.8,16.0
1,1.0,24.0,185.0,85.0,24.84,2.14,-1.0,1,1.0,202.0,561.0,0.1,winter,2019/1/9,17:00:00,21.5,16.0
1,1.0,24.0,185.0,85.0,24.84,2.14,-1.4,1,1.0,202.0,577.0,0.08,winter,2019/1/9,17:30:00,21.1,17.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,1,1.0,202.0,538.0,0.01,winter,2019/1/10,8:40:00,21.4,17.0
1,1.0,24.0,185.0,85.0,24.84,2.14,-0.3,1,1.0,202.0,672.0,0.01,winter,2019/1/10,9:00:00,22.4,18.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,0,1.0,202.0,858.0,0.01,winter,2019/1/10,9:30:00,24.1,17.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,0,1.0,202.0,945.0,0.01,winter,2019/1/10,10:00:00,25.2,16.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.0,0,1.0,202.0,1177.0,0.01,winter,2019/1/10,10:30:00,26.1,17.0
1,1.0,24.0,185.0,85.0,24.84,2.14,0.7,-1,1.0,202.0,1512.0,0.02,winter,2019/1/10,11:00:00,26.1,18.0
1,1.0,24.0,185.0,85.0,24.84,2.14,1.0,-1,1.0,202.0,1230.0,0.01,winter,2019/1/10,11:30:00,26.8,17.0
