,count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,ta_diff1,ta_diff2,age_avg,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
0,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,09:00:00,20.401666666666667,13.983333333333334,1,0.9602349386314442,0.0,0.0,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
1,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,09:30:00,21.701666666666668,15.450000000000001,1,0.6742027214959737,1.3000000000000007,0.0,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
2,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,10:00:00,22.09166666666667,15.35,1,0.3825783372016484,0.39000000000000057,1.6900000000000013,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
3,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,10:30:00,24.005,14.716666666666667,1,0.8207443193878975,1.9133333333333304,2.303333333333331,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
4,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,11:00:00,23.686666666666667,14.616666666666667,1,0.72785572077129,-0.3183333333333316,1.5949999999999989,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,2
5,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,11:30:00,24.253333333333334,14.733333333333334,1,0.748432077392169,0.5666666666666664,0.24833333333333485,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,2
6,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,12:00:00,23.97,14.583333333333334,1,0.005466158985716296,-0.283333333333335,0.28333333333333144,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,2
7,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,14:30:00,24.626666666666665,13.316666666666668,1,1.059028976288354,0.6566666666666663,0.3733333333333313,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
8,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,15:00:00,24.96166666666667,14.133333333333333,1,0.44947291789242405,0.3350000000000044,0.9916666666666707,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,2
9,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,15:30:00,24.583333333333332,15.549999999999999,1,1.0780436996811347,-0.3783333333333374,-0.043333333333333,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
10,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,16:00:00,21.97666666666667,16.333333333333332,1,0.3633889856075099,-2.606666666666662,-2.9849999999999994,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
11,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,16:30:00,23.48833333333333,16.983333333333334,1,1.092286964165548,1.5116666666666596,-1.0950000000000024,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
12,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,17:00:00,24.303333333333338,17.183333333333334,1,0.7737728812773699,0.8150000000000084,2.326666666666668,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
13,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,17:30:00,22.616666666666664,17.383333333333333,1,0.9901751880505065,-1.6866666666666745,-0.8716666666666661,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
14,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,09:00:00,20.401666666666667,13.983333333333334,1,0.3761927733929367,0.0,0.0,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
15,6,0.5,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.2,0.0,0.3333333333333333,1.0,0.6666666666666666,0.25,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,2021/1/09,09:30:00,21.701666666666668,15.450000000000001,1,0.2390367034896343,1.3000000000000007,0.0,23.166666666666668,168.33333333333334,58.666666666666664,20.38,0.7266666666666667,1
