,no,gender,age,height,weight,ta,hr,thermal sensation,bmi,griffith
0,1,0,22,164.0,45.0,27.5,59.0,1.0,16.73,0.96
1,1,0,22,164.0,45.0,26.5,55.0,0.3,16.73,0.96
2,1,0,22,164.0,45.0,26.4,53.0,0.2,16.73,0.96
3,1,0,22,164.0,45.0,25.3,51.0,1.0,16.73,0.96
4,1,0,22,164.0,45.0,25.3,48.0,0.0,16.73,0.96
5,1,0,22,164.0,45.0,27.1,52.0,0.0,16.73,0.96
6,1,0,22,164.0,45.0,24.6,48.0,-1.7,16.73,0.96
7,1,0,22,164.0,45.0,23.3,58.0,-1.0,16.73,0.96
8,1,0,22,164.0,45.0,24.9,58.0,0.0,16.73,0.96
9,1,0,22,164.0,45.0,25.5,65.0,0.5,16.73,0.96
10,1,0,22,164.0,45.0,26.5,66.0,1.0,16.73,0.96
11,1,0,22,164.0,45.0,23.3,59.0,1.0,16.73,0.96
12,1,0,22,164.0,45.0,23.9,59.0,0.2,16.73,0.96
13,1,0,22,164.0,45.0,25.5,60.0,0.2,16.73,0.96
14,1,0,22,164.0,45.0,26.8,64.0,1.0,16.73,0.96
15,1,0,22,164.0,45.0,27.7,63.0,2.0,16.73,0.96
16,1,0,22,164.0,45.0,23.1,66.0,1.5,16.73,0.96
17,1,0,22,164.0,45.0,23.7,64.0,0.0,16.73,0.96
18,1,0,22,164.0,45.0,26.3,55.0,0.0,16.73,0.96
19,1,0,22,164.0,45.0,26.7,59.0,0.0,16.73,0.96
20,1,0,22,164.0,45.0,27.1,58.0,0.0,16.73,0.96
21,1,0,22,164.0,45.0,27.3,59.0,0.0,16.73,0.96
22,1,0,22,164.0,45.0,27.0,61.0,1.5,16.73,0.96
23,1,0,22,164.0,45.0,27.0,61.0,1.0,16.73,0.96
24,1,0,22,164.0,45.0,26.4,59.0,0.0,16.73,0.96
25,1,0,22,164.0,45.0,26.0,59.0,-1.0,16.73,0.96
26,1,0,22,164.0,45.0,26.1,58.0,0.0,16.73,0.96
27,1,0,22,164.0,45.0,30.0,52.0,2.5,16.73,0.96
28,1,0,22,164.0,45.0,28.8,58.0,1.0,16.73,0.96
29,1,0,22,164.0,45.0,26.5,53.0,0.0,16.73,0.96
30,1,0,22,164.0,45.0,25.1,56.0,0.0,16.73,0.96
31,1,0,22,164.0,45.0,25.1,56.0,0.0,16.73,0.96
32,1,0,22,164.0,45.0,27.8,61.0,1.0,16.73,0.96
33,1,0,22,164.0,45.0,28.2,60.0,0.5,16.73,0.96
34,1,0,22,164.0,45.0,28.2,61.0,0.0,16.73,0.96
35,1,0,22,164.0,45.0,28.5,61.0,1.0,16.73,0.96
36,1,0,22,164.0,45.0,27.2,61.0,2.0,16.73,0.96
37,1,0,22,164.0,45.0,24.3,58.0,1.0,16.73,0.96
38,1,0,22,164.0,45.0,24.6,58.0,0.0,16.73,0.96
39,1,0,22,164.0,45.0,24.8,54.0,-0.5,16.73,0.96
40,1,0,22,164.0,45.0,25.9,53.0,0.0,16.73,0.96
41,1,0,22,164.0,45.0,27.7,57.0,0.0,16.73,0.96
42,1,0,22,164.0,45.0,23.6,58.0,0.0,16.73,0.96
43,1,0,22,164.0,45.0,24.0,59.0,-0.2,16.73,0.96
44,1,0,22,164.0,45.0,27.2,58.0,0.5,16.73,0.96
45,1,0,22,164.0,45.0,27.5,57.0,0.0,16.73,0.96
46,1,0,22,164.0,45.0,24.6,48.0,0.0,16.73,0.96
47,1,0,22,164.0,45.0,23.7,53.0,-0.5,16.73,0.96
48,1,0,22,164.0,45.0,25.1,54.0,-0.5,16.73,0.96
49,1,0,22,164.0,45.0,25.3,55.0,-0.5,16.73,0.96
50,1,0,22,164.0,45.0,25.4,54.0,-1.0,16.73,0.96
51,1,0,22,164.0,45.0,25.4,64.0,2.0,16.73,0.96
52,1,0,22,164.0,45.0,25.6,61.0,0.5,16.73,0.96
53,1,0,22,164.0,45.0,25.3,51.0,0.0,16.73,0.96
54,1,0,22,164.0,45.0,25.6,49.0,-0.5,16.73,0.96
55,1,0,22,164.0,45.0,27.0,53.0,-0.2,16.73,0.96
56,1,0,22,164.0,45.0,27.0,53.0,-0.2,16.73,0.96
57,1,0,22,164.0,45.0,28.9,58.0,2.5,16.73,0.96
58,1,0,22,164.0,45.0,25.5,52.0,0.0,16.73,0.96
59,1,0,22,164.0,45.0,25.5,52.0,0.0,16.73,0.96
60,1,0,22,164.0,45.0,24.5,56.0,1.5,16.73,0.96
61,1,0,22,164.0,45.0,24.2,56.0,0.5,16.73,0.96
62,1,0,22,164.0,45.0,24.6,54.0,0.0,16.73,0.96
63,1,0,22,164.0,45.0,24.6,54.0,0.0,16.73,0.96
64,1,0,22,164.0,45.0,25.3,49.0,-0.4,16.73,0.96
65,1,0,22,164.0,45.0,23.0,50.0,-2.0,16.73,0.96
66,1,0,22,164.0,45.0,22.0,52.0,-2.0,16.73,0.96
67,1,0,22,164.0,45.0,21.9,53.0,-2.5,16.73,0.96
68,1,0,22,164.0,45.0,22.1,54.0,-1.0,16.73,0.96
69,1,0,22,164.0,45.0,22.7,53.0,-0.5,16.73,0.96
70,1,0,22,164.0,45.0,23.8,55.0,-0.5,16.73,0.96
71,1,0,22,164.0,45.0,27.1,59.0,1.0,16.73,0.96
72,1,0,22,164.0,45.0,27.3,59.0,2.0,16.73,0.96
73,1,0,22,164.0,45.0,27.7,63.0,2.0,16.73,0.96
74,1,0,22,164.0,45.0,23.0,50.0,-1.0,16.73,0.96
75,1,0,22,164.0,45.0,27.2,50.0,2.0,16.73,0.96
76,1,0,22,164.0,45.0,27.2,50.0,2.0,16.73,0.96
77,1,0,22,164.0,45.0,29.7,46.0,2.5,16.73,0.96
78,1,0,22,164.0,45.0,25.7,42.0,-0.7,16.73,0.96
79,1,0,22,164.0,45.0,25.2,43.0,-1.5,16.73,0.96
80,1,0,22,164.0,45.0,29.8,58.0,2.0,16.73,0.96
81,1,0,22,164.0,45.0,29.0,59.0,2.0,16.73,0.96
82,1,0,22,164.0,45.0,24.7,48.0,-0.5,16.73,0.96
83,1,0,22,164.0,45.0,23.2,50.0,0.0,16.73,0.96
84,1,0,22,164.0,45.0,22.9,52.0,-2.0,16.73,0.96
85,1,0,22,164.0,45.0,29.9,50.0,2.5,16.73,0.96
86,1,0,22,164.0,45.0,24.2,49.0,-1.5,16.73,0.96
87,1,0,22,164.0,45.0,24.5,46.0,-1.0,16.73,0.96
88,1,0,22,164.0,45.0,29.9,55.0,2.5,16.73,0.96
89,1,0,22,164.0,45.0,28.5,45.0,0.0,16.73,0.96
90,1,0,22,164.0,45.0,28.5,45.0,0.0,16.73,0.96
